ID,Sire,Dam,PC,yr
201232,NA,NA,123,2009
201241,100502,100501,124,2009
201242,100152,100151,124,2009
201251,100162,100161,125,2009
201252,101502,101501,125,2009
201261,101642,101641,126,2009
201262,100342,100341,126,2009
201271,100512,100511,127,2009
201272,100922,100921,127,2009
201281,100552,100551,128,2009
201282,102542,102541,128,2009
201291,NA,NA,129,2009
201292,100862,100861,129,2009
201311,NA,NA,131,2009
201312,101042,101041,131,2009
201321,102132,102131,132,2009
201322,101122,101121,132,2009
201331,102042,102041,133,2009
201332,100512,100511,133,2009
201341,102042,102041,134,2009
201342,100042,100041,134,2009
201351,102172,102171,135,2009
201352,102322,102321,135,2009
201361,102092,102091,136,2009
201362,NA,NA,136,2009
201371,100882,100881,137,2009
201372,100342,100341,137,2009
201381,100852,100851,138,2009
201382,100702,100701,138,2009
201391,101112,101111,139,2009
201392,NA,NA,139,2009
201401,102522,102521,140,2009
201402,NA,NA,140,2009
201411,100182,100181,141,2009
201412,NA,NA,141,2009
201421,100182,100181,142,2009
201422,NA,NA,142,2009
201431,101402,101401,143,2009
201432,NA,NA,143,2009
201441,101062,101061,144,2009
201442,102542,102541,144,2009
201451,100182,100181,145,2009
201452,100612,100611,145,2009
201471,100502,100501,147,2009
201472,101322,101321,147,2009
201481,100772,100771,148,2009
201482,102092,102091,148,2009
201491,101382,101381,149,2009
201492,101192,101191,149,2009
201501,101382,101381,150,2009
201502,101362,101361,150,2009
201511,100232,100231,151,2009
201512,100502,100501,151,2009
201521,100182,100181,152,2009
201522,100642,100641,152,2009
201531,100422,100421,153,2009
201532,102122,102121,153,2009
201541,100202,100201,154,2009
201542,100182,100181,154,2009
201551,101452,101451,155,2009
201552,100972,100971,155,2009
201561,100942,100941,156,2009
201562,101012,101011,156,2009
201581,101322,101321,158,2009
201582,100782,100781,158,2009
201591,100502,100501,159,2009
201592,100872,100871,159,2009
201601,101412,101411,160,2009
201602,101382,101381,160,2009
201611,100732,100731,161,2009
201612,101472,101471,161,2009
201621,100192,100191,162,2009
201622,101012,101011,162,2009
201631,101272,101271,163,2009
201632,100712,100711,163,2009
201641,100422,100421,164,2009
201642,100742,100741,164,2009
201651,101322,101321,165,2009
201652,100872,100871,165,2009
201661,101522,101521,166,2009
201662,NA,NA,166,2009
201671,100612,100611,167,2009
201672,100182,100181,167,2009
